text,label
"@UTDKara Erik ten hag has nothing to offer that team anymore""""",hate
" The players wasted chances this isn't on Erik Ten Hag Well maybe if he didn't bin off footballs greatest ever goalscorer for two strikers who can't score then maybe we would score more goals Everything is on Erik Ten Hag #ETHOUT #MUFC""""",hate
"At some point we all have to realize that the level at which we miss clear cut chances is may not be a coincidence. The level is of quality doesn t justify this injustice. Something has to change #erik ten hag #MUFC #ineos""""",no-hate
"-Chelsea won vs Newcastle United -Arsenal draw with Liverpool at Emirates -Barcelona beating Real Madrid -Manchester United lost to West Ham -11 points in the first PL 9 games -Erik Ten Hag still the Man United manager Sometimes it is the hope that kills https://t.co/a3AmSbgRQd""""",no-hate
"@dartvarder Do you still back Erik Ten Hag?""""",no-hate
"@JanAageFjortoft Lot of Britis in the comments section justifying the 20 second pen. Last week Norris only got a 5 second pen. Memory of a goldfish""""",no-hate
"ï¸ That's the third time I feel real injustice in the season Erik ten Hag on the penalty decision in the defeat against West Ham United. #MUFC #BBCPL""""",no-hate
"Erik ten Hag being sacked by November was on 99.9% of our bingo cards when he signed that 3 year contract in the summer. The only question is if he actually makes it to November at all. Surely United can't carry on like this for much longer. #MUFC""""",no-hate
" Just Sack Erik Ten Hag? The Munde react to the West Ham loss and we talk about fans conspiracies about the managerial link with Xavi Hernandez. - https://t.co/Uox6FZcsBP https://t.co/t1OQTf5MMI""""",hate
"I need someone to buy me an iPad so I can see Erik Ten Hag's Manchester united on the pl table""""",no-hate
"ï¸ Erik ten Hag on speaking with the officials: I spoke with them. That's a third time I have felt injustice in the season and it has a big impact on our team and on our scores and where we are in the table. It's not right. #MUFC""""",no-hate
"Keep refreshing my feed waiting to see Erik less than Ten games Hag sacked """"",hate
"@fidelityic Are you seriously comparing Hansi Flick with Erik Ten Hag? ETH needs to born 3-4 times to match Hansi Flick's ball """"",no-hate
" Clear and obvious wasn't how the VAR worked their process - Erik ten Hag https://t.co/KLe1E82ZsX""""",no-hate
"@centregoals :Erik ten Hag: Three times this season we feel injustice. We have to score we created so many chances. We should've been two or three up. Second half we were forcing it but we allowed them into the game . https://t.co/kBb3SPWmbr""""",no-hate
"Manchester United after losing to Westham | There is a conspiracy against Erik Ten Hag he must not be Sacked he is doing well! https://t.co/x75DGUKbmG""""",no-hate
" Will ten Hag see out the week I can't see it... We could well see an interim period on the horizon for Ruud van Nistelrooy Shane Keegan feels as though the writing may be on the wall for Erik ten Hag | The Sunday Kickback on OTB w/ @williamhillire. https://t.co/c9Nt3y0LYH""""",no-hate
"@RatcliffeUtdEra Ever since Erik ten Hag become Man Utd manager of of the club Man Utd have failed to win all there top 6 teams in premier league away from home and Man Utd lest win in Europe League was 1 year ago lest October 2023 so you said you are an Man Utd fan then""""",no-hate
"Pound for pound Erik Ten Hag is the worst coach in the league. His team gets outcoached and outclassed every damn time no matter the team. Damn Lopetegui got a win against Ten Hag. That's just terrible. Fvck all the missed chances in the first half it happens.""""",hate
"Man Utd news Fans BEG for #ErikTenHag to be sacked after West Ham loss https://t.co/JYT2YTa6X0""""",hate
"Erik ten Hag slams VAR after Premier League release statement on West Ham penalty decision https://t.co/T1nmgSkVav https://t.co/NbcvBsFeY6""""",no-hate
"Today's loss is solely on the players and not Erik Ten Hag...""""",no-hate
"Erik ten Hag when United beat Barnsley 7-0 https://t.co/r8sBJPsHGl""""",no-hate
"Last time we won at West Ham it was decided by two players deemed not good enough by Erik Ten Hag. Ronaldo and De Gea penalty save. https://t.co/4N1QeWuxkB""""",no-hate
"Man Utd always seem to have some shit hit the fan even when Erik ten Hag gets it right. But for terrible finishing that game would've been won in the first half. Don't think I've ever been this confused about #MUFC #WHUMUN. https://t.co/QgYtQBWGpf""""",hate
"@ManUtd checking @SkySportsNews every 10 minutes hoping to see Erik Ten Hag Sacked finally! Please please please @SirJimRatclife try anybody until end of the season as it's a write off again already. Even roy keane to scare them into shape and tell them how it is #TenHagMustGo""""",no-hate
"One win in their last 8 games #giveandgoal #MUFC #ManchesterUnited #manu #eriktenhag #tenhag https://t.co/7tIk8ZTGuF""""",no-hate
"I hope we get the news tomorrow Erik ten Hag needs to leave ASAP! The mediocrity stinks""""",hate
"Erik Ten Hag always Complaining """"",no-hate
"How should Manchester United react to a rocky start to the season? The NBC Sports Soccer crew discusses Erik ten Hag's future with the club. https://t.co/t6x0NVZg8X""""",no-hate
"@LukeShawArmy Erik Ten Hag London Stadium is never an easy game and we should be proud of chances created. But you know we ve won two trophies in the past two years we are a winning mentality team """"",no-hate
"One chance one goal. Erik Ten Hag's dipshits scored one goal from 150 chances in the previous game.""""",no-hate
"Las Las that thing wey INEOS dey try to avoid by all means go still happen. Erik Ten Hag your days are countful. https://t.co/lM9HevMXlo""""",no-hate
"Manchester United missed an open goal and conceded in stoppage time to lose 2-1 at West Ham in the Premier League piling more pressure on manager Erik ten Hag on Sunday. Read more: https://t.co/eK6WbC7DUo #GLNRSports https://t.co/6Qa1Rctsbl""""",no-hate
"@SkySportsPL The gift that keeps on giving Erik ten Hag """"",no-hate
"What is the difference between Xavi and Erik Ten Hag?""""",no-hate
"Breaking Manchester United sacked Erik Ten hag #MUFC""""",no-hate
"Yes folks there was a time Manchester United got eelegated in the 1970s and it could happen again because the motherf**kers do not want to fire Erik Ten Hag! https://t.co/WrMTYrsTLO""""",hate
"Repost in solidarity for Erik Ten Hag.. Manchester United trust the process. https://t.co/nc7tGoV5ts""""",no-hate
"@ESPNFC Erik ten Hag criticized the decision-making process that led to West Ham's late winner emphasizing the need for clarity and consistency in officiating... """"",no-hate
"Erik ten Hag definitely hiding away and blowing bubbles this evening https://t.co/7MNXQwU78I""""",hate
"You know what I really love? How we credit Erik Ten Hag for the chances created and blame the players for the misses. Ten Hag created chances players missed them. Ten Hag won trophies the players??? #HeHasDoneHisWork """"",no-hate
"Erik Ten Hag is not the reason for the problems in your life or at your football club. Know that and know peace""""",no-hate
"West ham 2: 1 Man Utd Premier league #sportsontiktok #miss_godspower #manchesterunited #westham #eriktenhag #premierleague https://t.co/zf9vFiR10n""""",no-hate
"@NoodleHairCR7 Erik Ten hag is the sleeper cell in the club he's gonna destroy Manchester United""""",hate
"-Chelsea won vs Newcastle United -Arsenal draw with Liverpool at Emirates -Barcelona beating Real Madrid -Manchester United lost to West Ham -11 points in the first PL 9 games -Erik Ten Hag still the Man United manager Sometimes it is the hope that kills https://t.co/a3AmSbgRQd""""",no-hate
"Erik ten Hag directed his anger towards the VAR process that awarded a pivotal late penalty to West Ham in #MUFC's 2-1 defeat in East London #WHUMUN https://t.co/bGjy7CC46V""""",no-hate
"@UTDFondre One of the reasons we sacked Ole was cos he was soft on players. Erik Ten Hag came in and tried to be the disciplinarian he is and publicly criticizing the players but we shut him down. Now you're going off on how he defends the players after under performing""""",no-hate
" NEW YOUTUBE VIDEO 'At the moment the LUCK IS NOT ON MY SIDE!' | Erik Ten Hag | West Ham 2-1 Man Utd https://t.co/jgSBu5FtGX https://t.co/bAZigBNI7Q""""",no-hate
"If erik ten hag loves and respects himself he will leave this club alongside dalot. Dalot as never been a good player""""",no-hate
"Manchester United manager Erik ten Hag says West Ham United s late penalty award was an injustice . West Ham won a penalty after Matthijs de Ligt was judged to have fouled Max Kilman with Jarrod Bowen converting from the spot in the 92nd minute to give #WHUFC a 2-1 home win. https://t.co/4bf9CnOHjs""""",no-hate
" We played so good... So I can't criticize my team for not playing well. Man United boss Erik ten Hag speaks following a controversial late defeat against West Ham. https://t.co/LG4sUOIMoX""""",no-hate
"@ManUtd Erik ten hag for life please He s doing a fantastic job""""",no-hate
"Erik ten Hag angry with VAR for interfering as West Ham penalty wounds Man Utd https://t.co/R6kE8wB3iU""""",no-hate
"Erik ten Hag: It was so difficult to see. Before the season there was the instruction about VAR only interfering in clear and obvious mistakes. That is definitely not a clear and obvious mistake from the on-field referee. #WHUMUN #MUFC https://t.co/rwJ2DkXckY""""",no-hate
"ERIK TEN HAG HAS LOST 18 OF HIS LAST 47 GAMES! WHY THE FUCK ARENT WE PROTESTING THROUGH THE STREETS!! HES DOING MORE DAMAGE TO OUR CLUB THAN THE FUCKING GLAZERS""""",hate
"I hope we get the news tomorrow Erik ten Hag needs to leave ASAP! The mediocrity stinks""""",hate
"ERIK TEN HAG YOU WILL PERISH""""",no-hate
"You can Sack Erik Ten Hag look at this beautiful family he's the bread winner https://t.co/LrlEcNZT50""""",no-hate
"@Jamie54411401 @ReRe416842 @JohnMcMah0n Arteta has played under Moyes and Wenger. And been right hand man to Pep. The fact he's decided to be Moyes Mk2 is hilarious. Bottled 2 leagues and won 1 Cup in 5 years after spending millions Erik ten Hag has a better legacy than Arteta """"",no-hate
"Erik ten Hag has struggled to implement a consistent tactical vision and his team's lack of cohesion and frequent defensive lapses raise serious concerns about his managerial effectiveness.""""",no-hate
"Erik Ten Hag please which one is we will keep fighting cos we are strong when you are not even fighting for anything as a Club.""""",no-hate
"@1_3Aadz When Dalot went past the keeper what do you think Erik ten Hag should have told him to do instead?""""",no-hate
"There is absolutely zero excuse and Ten Hag and @ManUtd need to take a leaf out of Forests book and grow a set of bollocks and call out the blatant bias that has been going on for the past few years. If they don't is another failure on Erik's part""""",no-hate
"@UtdShiv I just thought about it again - Erik Ten Hag will actually do well in another club. However with Manchester United there s so many factors involved""""",no-hate
"ï¸ Erik ten Hag on speaking with the officials: I spoke with them. That's a third time I have felt injustice in the season and it has a big impact on our team and on our scores and where we are in the table. It's not right. #MUFC""""",no-hate
"Erik ten hag resign or I m nicking your bike""""",hate
"Yes folks there was a time Manchester United got eelegated in the 1970s and it could happen again because the motherf**kers do not want to fire Erik Ten Hag! https://t.co/WrMTYrsTLO""""",hate
"@ManUtd Sack Erik ten Hag! He has overstayed his welcome """"",hate
"Erik Ten hag shouldn't even bother going to Carrington by morning""""",hate
"@AliceTalksFooty I'll blame Erik Ten Hag. Every. Single. Game.""""",hate
"I am Erik Ten Hag in but my lord is it hard to defend him each week""""",no-hate
"Erik ten Hag: It was so difficult to see. Before the season there was the instruction about VAR only interfering in clear and obvious mistakes. That is definitely not a clear and obvious mistake from the on-field referee. #WHUMUN #MUFC https://t.co/rwJ2DkXckY""""",no-hate
"Investors will be monitoring any potential sudden shift on Utd s share price this week.Any dramatic drop in the price of Utd s shares on the New York Stock Exchange could be a strong signal that Erik Ten Hag has been sacked as manager.He is now hanging onto his job by a thread.""""",no-hate
"Ineos and Jim ractiffe are longing to play truth or dare with erik ten hag so they can dare him to go home #ManchesterUnited""""",no-hate
"All Manchester united coaches post Fergie Erik Ten Hag is the most luckiest coach None of the coaches post Fergie will survive sacking under this performance. #ManchesterUnited""""",no-hate
"This is Erik Ten Hag his beautiful daughter and lovely wife. Before you ask him to be sacked by Man Utd think about his family. How do you want him to put food on their table? Erik Ten Hag must stay. Like this if you agree https://t.co/KQd0AfsQyU""""",no-hate
"@Iamdaniel_sage @nelsonhands20 You can say anything against Arteta call him names that's ok but calling him fraud? If Arteta is fraud what's Erik Ten Hag?""""",no-hate
"Chelsea 2022/23 trenches season never started this poor. The mistake we made was sacking Tuchel and finished 12th that seaon. So Manchester United needs to learn from our mistakes and keep Erik Ten Hag while trusting the process. Rome was never built in a day.""""",no-hate
"@Nofacenocase38 @UTDEriksen When last did Manchester United won something before Erik ? And what was their position before he took over ?""""",no-hate
"@FootbalIhub I'm a shit coach - Erik Ten Hag probably""""",hate
"I agree with you about that Alice So it s maybe Erik ten Hag fault because he don t play the players in there favourite positions in the team""""",no-hate
"@sportingking365 This is Erik Ten Hag his beautiful Wife and lovely Daughter. Before you ask for his sacking think about his family. How do you want him to put food on their table https://t.co/tkQQF9HKy6""""",no-hate
"Manchester United would have to pay up to Â£14million (â¬16.7m / $18.3m) to sack Erik ten Hag ... Better HE STAYS""""",hate
"There is absolutely zero excuse and Ten Hag and @ManUtd need to take a leaf out of Forests book and grow a set of bollocks and call out the blatant bias that has been going on for the past few years. If they don't is another failure on Erik's part""""",no-hate
"Erik ten Hag bemoans 'unfair and unjust' West Ham penalty against Man Utd https://t.co/liGUk8VGZ9""""",no-hate
"Yes folks there was a time Manchester United got eelegated in the 1970s and it could happen again because the motherf**kers do not want to fire Erik Ten Hag! https://t.co/WrMTYrsTLO""""",hate
"That s our new RWB Erik Ten Hag football """"",no-hate
"@kgailas Erik Ten Hag is doing wonders at Manchester United. I love him for them.""""",no-hate
"@UTDKara @ManUtd One day just one day you will regret ever wanting Erik Ten Hag to be sacked. Bookmark this tweet. You English lots are so unreasonable.""""",no-hate
"Erik ten Hag: In this moment definitely the luck is not on our side. Last season was not different but in the end we turned it around. We are so determined it will be the same again. #MUFC https://t.co/UJenOGOQf4""""",no-hate
"Mike Ross as a fraud is better than Erik Ten Hag""""",no-hate
"The UK needs to ban Erik Ten Hag from entering the country @Keir_Starmer @Keir_Starmer @Keir_Starmer""""",hate
"ï¸ Erik ten Hag: We feel an injustice there are so many things against us. We have to stick together and keep fighting. #MUFC https://t.co/jOGpJvJUHK""""",no-hate
"What s INEOS waiting for? Erik ten Hag got to go. Aren t Arsenal s title hopes up in smoke already?""""",no-hate
"ERIK TEN HAG HAS LOST 18 OF HIS LAST 47 GAMES! WHY THE FUCK ARENT WE PROTESTING THROUGH THE STREETS!! HES DOING MORE DAMAGE TO OUR CLUB THAN THE FUCKING GLAZERS""""",hate
"ï¸ Erik ten Hag: We have to deal with this frustration and disappointment. That's what we're going to do. We're strong. The staff is strong the players are strong and we're going to keep fighting for Man United starting on Wednesday. #MUFC https://t.co/N59sS758y0""""",no-hate
"Erik Ten Hag is the worst manager in the history of Manchester United. Sack him now. #TenHagOut https://t.co/2haDe86whz""""",hate
"@UnitedStandMUFC Yes well guess who recruited three of the midfield players ? Mr Erik Ten Hag. You know the manager that you would still rather keep .""""",no-hate
"@wealth_united_ This is Erik Ten Hag his beautiful daughter and lovely wife. Before you ask him to be sacked by Man Utd think about his family. How do you want him to put food on their table? Erik Ten Hag must stay. https://t.co/I34xxMd8yz""""",no-hate
"@UtdBloke_ Rome wasn't built in a day bro! Have some patience. Erik Ten Hag is the right man for the job. """"",no-hate
"At some point we all have to realize that the level at which we miss clear cut chances is may not be a coincidence. The level is of quality doesn t justify this injustice. Something has to change #erik ten hag #MUFC #ineos""""",no-hate
" When you only concede two goals away against Westham it shows that you are difficult to beat we will bounce back Erik Ten Hag""""",no-hate
"Yes folks there was a time Manchester United got eelegated in the 1970s and it could happen again because the motherf**kers do not want to fire Erik Ten Hag! https://t.co/WrMTYrsTLO""""",hate
"@1_3Aadz When Dalot went past the keeper what do you think Erik ten Hag should have told him to do instead?""""",no-hate
"Yes folks there was a time Manchester United got eelegated in the 1970s and it could happen again because the motherf**kers do not want to fire Erik Ten Hag! https://t.co/WrMTYrsTLO""""",hate
"@UtdShiv I just thought about it again - Erik Ten Hag will actually do well in another club. However with Manchester United there s so many factors involved""""",no-hate
"@PhokMei @TenHagEra 8 games 1 win = relegation form cha. erik ten hag is ensuring we are in a proper mighty relegation scrap. he has to go blud come tf on""""",hate
"If erik ten hag loves and respects himself he will leave this club alongside dalot.""""",no-hate
"i m gonna kill myself in front of erik ten hag to change the trajectory of his life forever in hopes that the trajectory of manchester united football club will change""""",hate
"@UTDFondre One of the reasons we sacked Ole was cos he was soft on players. Erik Ten Hag came in and tried to be the disciplinarian he is and publicly criticizing the players but we shut him down. Now you're going off on how he defends the players after under performing""""",no-hate
"Chelsea 2022/23 trenches season never started this poor. The mistake we made was sacking Tuchel and finished 12th that seaon. So Manchester United needs to learn from our mistakes and keep Erik Ten Hag while trusting the process. Rome was never built in a day.""""",no-hate
":Erik ten Hag: Three times this season we feel injustice. We have to score we created so many chances. We should've been two or three up. Second half we were forcing it but we allowed them into the game . #MUFC""""",no-hate
"Manchester United is officially a bottle table Premier League club. Erik Ten Hag is overworking https://t.co/SppQi3eJPK""""",no-hate
" Will ten Hag see out the week I can't see it... We could well see an interim period on the horizon for Ruud van Nistelrooy Shane Keegan feels as though the writing may be on the wall for Erik ten Hag | The Sunday Kickback on OTB w/ @williamhillire. https://t.co/PZoldvCq8L""""",no-hate
"Erik ten Hag: Three times this season we feel injustice. We have to score we created so many chances. We should've been two or three up. Second half we were forcing it but we allowed them into the game. https://t.co/h6kOd4ni1Z""""",no-hate
" NEW YOUTUBE VIDEO 'At the moment the LUCK IS NOT ON MY SIDE!' | Erik Ten Hag | West Ham 2-1 Man Utd https://t.co/jgSBu5FtGX https://t.co/bAZigBNI7Q""""",no-hate
"If I see one more Erik ten hag picture on my Tl I might start crying.""""",no-hate
"ï¸ Erik ten Hag: We feel an injustice there are so many things against us. We have to stick together and keep fighting. #MUFC https://t.co/jOGpJvJUHK""""",no-hate
"Saka is the type of player Erik Ten Hag needs in his team. Direct and purposeful""""",no-hate
" Manchester United can confirm Erik Ten Hag has been relieved of his managerial duties and shot I await""""",no-hate
"Erik ten Hag in 2022: I admire them both Man City and Liverpool. But eras come to an end. """"",no-hate
"@NoodleHairCR7 Let it sink in that Erik ten hag is playing favoritism in football""""",no-hate
"Erik ten Hag slams 'unfair and unjust' decision to award West Ham a penalty in Man United's defeat - as he tells officials to show 'big personality' when sent to the monitor by VAR https://t.co/k6MtR3Pu6H""""",no-hate
"Just sack Erik Ten Hag now I don't mind RVN taking over""""",hate
"@TenHagEra Erik Ten Hag brought this on himself... He is too stubborn why won't he change his formation and play Rasmus and Zirkzee? I really don't understand. As a once ardent supporter of his I feel it's time to sit on the fence and observe for a while before the dreaded Ten Hag *** .""""",no-hate
"The more I think about it the more I realise Erik ten Hag is the perfect manager for the current Manchester United fanbase. He's a pure politician. He manipulates the masses into supporting his downright indefensible actions blinding their judgement. He should stay at #MUFC""""",no-hate
"I can't believe there are still sane individuals defending Erik ten hag""""",no-hate
"Today's loss is solely on the players and not Erik Ten Hag...""""",no-hate
"@FabrizioRomano Erik Ten Hag should also play proper football to avoid this bad decision against him every week.""""",hate
"@ManUtd At this rate @ManUtd we should be relegated for you sack Erik ten hag we need the motivation of a different manager everything now is pathetic. Do you even train this players?""""",hate
"Erik ten Hag in 2022: I admire them both Man City and Liverpool. But eras come to an end. """"",no-hate
"@UTDKara Erik ten hag has nothing to offer that team anymore""""",hate
"Just sack Erik Ten Hag now I don't mind RVN taking over""""",hate
"@metalmarkie How is Erik Ten Hag right now""""",no-hate
"ï¸ Anybody that is half-decent will beat this United team Gary Neville says Erik ten Hag is asking for trouble https://t.co/pm8TQVPeh8""""",no-hate
"What Erik ten Hag is doing with Marcus Rashford is like Mikel Arteta moving Bukayo Saka to left back and shoving Ben White forward to be the focal point of Arsenal's attack. Madness.""""",no-hate
"There is absolutely zero excuse and Ten Hag and @ManUtd need to take a leaf out of Forests book and grow a set of bollocks and call out the blatant bias that has been going on for the past few years. If they don't is another failure on Erik's part""""",no-hate
"Dear @ManUtd if #ErikTenHag were to get fired who would you like to replace him?""""",no-hate
" - Erik Ten Hag was FURIOUS with the penalty decision as he should! https://t.co/HxEXaEhwH7""""",no-hate
"@dartvarder Do you still back Erik Ten Hag?""""",no-hate
"Erik ten Hag mentality has begun to spread among the squad. We need to stop it before it gets out of hand. @ManUtd""""",no-hate
"@PhokMei @TenHagEra 8 games 1 win = relegation form cha. erik ten hag is ensuring we are in a proper mighty relegation scrap. he has to go blud come tf on""""",hate
"@OllieHolt22 INEOS sacks Erik ten Hag: Immediately goes against this long-term plan they ve been banging on about over the last few weeks. INEOS doesn t sack him: EtH continues failing to get a tune out of a sub-par group of players. #MUFC""""",no-hate
" We were FAR better than the opponent injustice Erik ten Hag reacts to Manchester United's 2-1 defeat to West Ham https://t.co/3mfnpwYHIe | Pidom | Ibadan | Pastor Jerry Eze | Hausa | Seun Kuti | Northern Nigeria | Sabinus | Kano | TG Omori |Simon Ekpa | Mourinho |""""",no-hate
" We were FAR better than the opponent injustice Erik ten Hag reacts to Manchester United's 2-1 defeat to West Ham https://t.co/3mfnpwYHIe | Pidom | Ibadan | Pastor Jerry Eze | Hausa | Seun Kuti | Northern Nigeria | Sabinus | Kano | TG Omori |Simon Ekpa | Mourinho |""""",no-hate
" We played so good... So I can't criticize my team for not playing well. Man United boss Erik ten Hag speaks following a controversial late defeat against West Ham. https://t.co/LG4sUOIMoX""""",no-hate
" LIVE MAN UTD / WEST HAM PRESS CONFERENCES LIVE | Erik Ten Hag and Julen Lopetegui post-match press conferences | West Ham 2-1 Man Utd https://t.co/NWFPfwQElL https://t.co/x5XSBUAeIS""""",no-hate
"Erik Ten Hag points out the injustice he has faced this season so far from the officials! #eriktenhag #manchesterunited #manutd #penalty #sportsinfofootball https://t.co/D44Nlxn4cJ""""",no-hate
"@utdcynical Our fanbase deserves this""""",no-hate
"Pound for pound Erik Ten Hag is the worst coach in the league. His team gets outcoached and outclassed every damn time no matter the team. Damn Lopetegui got a win against Ten Hag. That's just terrible. Fvck all the missed chances in the first half it happens.""""",hate
"One chance one goal. Erik Ten Hag's dipshits scored one goal from 150 chances in the previous game.""""",no-hate
"Erik Ten Hag is working with the entire team for 24/7 and can't even teaches them not to giving away the ball easily and how to create a clear chance. It's time for something new.""""",no-hate
