text,label
"@ManUtd checking @SkySportsNews every 10 minutes hoping to see Erik Ten Hag Sacked finally! Please please please @SirJimRatclife try anybody until end of the season as it's a write off again already. Even roy keane to scare them into shape and tell them how it is #TenHagMustGo""""",no-hate
"Today's loss is solely on the players and not Erik Ten Hag...""""",no-hate
"@UnitedStandMUFC Yes well guess who recruited three of the midfield players ? Mr Erik Ten Hag. You know the manager that you would still rather keep .""""",no-hate
" When you only concede two goals away against Westham it shows that you are difficult to beat we will bounce back Erik Ten Hag""""",no-hate
"Today's loss is solely on the players and not Erik Ten Hag...""""",no-hate
"@UTDFondre One of the reasons we sacked Ole was cos he was soft on players. Erik Ten Hag came in and tried to be the disciplinarian he is and publicly criticizing the players but we shut him down. Now you're going off on how he defends the players after under performing""""",no-hate
"Ineos and Jim ractiffe are longing to play truth or dare with erik ten hag so they can dare him to go home #ManchesterUnited""""",no-hate
"ï¸ Erik ten Hag on speaking with the officials: I spoke with them. That's a third time I have felt injustice in the season and it has a big impact on our team and on our scores and where we are in the table. It's not right. #MUFC""""",no-hate
"@NoodleHairCR7 Let it sink in that Erik ten hag is playing favoritism in football""""",no-hate
"Erik Ten Hag got rid of a winner in Cristiano a potential captain and a leader of the squad. Now we have a spineless team with no character. #MUFC https://t.co/kd9ORqEdQ5""""",hate
"@UnitedStandMUFC I want Erik ten hag to leave not because he's not good enough but this team has a very toxic environment from the board down the fans. He needs peace of mind away from the PGMOL English press and from us the fans. Let the team get an English coach and they should do whatever""""",hate
" We played so good... So I can't criticize my team for not playing well. Man United boss Erik ten Hag speaks following a controversial late defeat against West Ham. https://t.co/LG4sUOIMoX""""",no-hate
"Keep refreshing my feed waiting to see Erik less than Ten games Hag sacked """"",hate
"@metalmarkie How is Erik Ten Hag right now""""",no-hate
"@TenHagBall_ man we're still playing like a shit this bald erik ten hag """"",hate
"ï¸ Gary Neville: It s getting to that point where it ll become unbearable the pressure in this next week or two around Erik ten Hag. Just purely the position in the league they are 14th. Man United I mean it s Manchester United. He can t be 14th in the league. He can be https://t.co/bcDUXlNB0D""""",hate
"Erik Ten Hag is doing a commendable job at Manchester United! """"",no-hate
" Manchester United can confirm Erik Ten Hag has been relieved of his managerial duties and shot I await""""",no-hate
"Today's loss is solely on the players and not Erik Ten Hag...""""",no-hate
"@NoodleHairCR7 Erik Ten hag is the sleeper cell in the club he's gonna destroy Manchester United""""",hate
"@TenHagBall_ Sack Erik Ten Hag already pls""""",hate
"Roma are going to sack their 2nd coach of the season after a stretch of poor results that has them in 11th place. But Manchester United who finished 8th last season and are currently in 14th place with a record of 3-2-4 are going to keep Erik Ten Hag. Small club.""""",hate
"Kevin Palmer: Erik ten Hag finds excuses for West Ham defeat but this should be last game https://t.co/bh6x8Oty1r""""",no-hate
"Losing today should be the final nail in the coffin for Erik ten hag @ManUtd #mufc @INEOSGrenadiers @INEOS Sack him NOW #TENHAGOUT @lauriewhitwell @FabrizioRomano @David_Ornstein""""",hate
"INEOS are too scared to pull the trigger on Erik Ten Hag because they are scared to admit that they made a massive mistake by keeping him""""",no-hate
"@ManUtd Please remove @ErikTenHag""""",hate
"@views09 We are not sacking Erik Ten hag""""",no-hate
"@ManUtd Sack Erik ten Hag! He has overstayed his welcome """"",hate
"@ManUtd I deeply empathize with the person handling social media duties. It's difficult to find the right words to post after such a sorrowful day. It truly feels painful. Erik Ten Hag is the source and at heart of our frustration and pain. His stubbornness is baffling. The transition""""",hate
"When do you THINK Erik ten Hag gets the sack?""""",hate
"If I see one more Erik ten hag picture on my Tl I might start crying.""""",no-hate
" Mission Relegation directed by Erik Ten Hag . Produced by bunch of clowns . #TenHagOut""""",hate
"Erik Ten Hag is begging Manchester United owner Jim Ratcliffe to sack him after United lost 2-1 against West Ham today. (Parody) I made this using https://t.co/rNe1J8cXp3 #manchesterunited #manutd #manutdfans #manutdfc #eriktenhag #tenhag #tenhagout https://t.co/xtceHncKbZ""""",hate
"@UtdShiv I just thought about it again - Erik Ten Hag will actually do well in another club. However with Manchester United there s so many factors involved""""",no-hate
"West ham 2: 1 Man Utd Premier league #sportsontiktok #miss_godspower #manchesterunited #westham #eriktenhag #premierleague https://t.co/zf9vFiR10n""""",no-hate
" Mission Relegation directed by Erik Ten Hag . Produced by bunch of clowns . #TenHagOut""""",hate
"@ManUtd It shall never be well with you you fool Erik Ten Hag""""",hate
"@1_3Aadz When Dalot went past the keeper what do you think Erik ten Hag should have told him to do instead?""""",no-hate
"@fairlyodd_tweet I don't understand you this man. Only 3 players out of the xl are not his (Bruno Rashford Dalot) No way you want me to believe the 3 Erik ten hag favourite boys are the reason he can't win games consistently.""""",no-hate
"I just watched a video where someone said they should jail Erik ten hag this people too do abeg""""",hate
"@wealth_united_ This is Erik Ten Hag his beautiful daughter and lovely wife. Before you ask him to be sacked by Man Utd think about his family. How do you want him to put food on their table? Erik Ten Hag must stay. https://t.co/I34xxMd8yz""""",no-hate
"ï¸ Anybody that is half-decent will beat this United team Gary Neville says Erik ten Hag is asking for trouble https://t.co/pm8TQVPeh8""""",no-hate
"Erik ten Hag when United beat Barnsley 7-0 https://t.co/r8sBJPsHGl""""",no-hate
" Clear and obvious wasn't how the VAR worked their process - Erik ten Hag https://t.co/KLe1E82ZsX""""",no-hate
"Yes folks there was a time Manchester United got eelegated in the 1970s and it could happen again because the motherf**kers do not want to fire Erik Ten Hag! https://t.co/WrMTYrsTLO""""",hate
"@UTDKara Erik ten hag has nothing to offer that team anymore""""",hate
"Erik ten Hag slams VAR after Premier League release statement on West Ham penalty decision https://t.co/T1nmgSkVav https://t.co/NbcvBsFeY6""""",no-hate
"JUST SEEN UNITED SCORE LOOOOOOOOOOOL FUCK YOUUUUUUU @ErikTenHag""""",hate
"@UnitedStandMUFC I want Erik ten hag to leave not because he's not good enough but this team has a very toxic environment from the board down the fans. He needs peace of mind away from the PGMOL English press and from us the fans. Let the team get an English coach and they should do whatever""""",hate
":Erik ten Hag: Three times this season we feel injustice. We have to score we created so many chances. We should've been two or three up. Second half we were forcing it but we allowed them into the game . #MUFC""""",no-hate
"Erik ten Hag: In this moment definitely the luck is not on our side. Last season was not different but in the end we turned it around. We are so determined it will be the same again. #MUFC https://t.co/UJenOGOQf4""""",no-hate
"Erik Ten Hag please oooo If you get any small shame you go hand in resignation tonight""""",hate
"@FabrizioRomano Erik Ten Hag should also play proper football to avoid this bad decision against him every week.""""",hate
"@dartvarder Do you still back Erik Ten Hag?""""",no-hate
"Man Utd always seem to have some shit hit the fan even when Erik ten Hag gets it right. But for terrible finishing that game would've been won in the first half. Don't think I've ever been this confused about #MUFC #WHUMUN. https://t.co/QgYtQBWGpf""""",hate
"Yes folks there was a time Manchester United got eelegated in the 1970s and it could happen again because the motherf**kers do not want to fire Erik Ten Hag! https://t.co/WrMTYrsTLO""""",hate
"Manchester United missed an open goal and conceded in stoppage time to lose 2-1 at West Ham in the Premier League piling more pressure on manager Erik ten Hag on Sunday. Read more: https://t.co/eK6WbC7DUo #GLNRSports https://t.co/6Qa1Rctsbl""""",no-hate
"@fidelityic Are you seriously comparing Hansi Flick with Erik Ten Hag? ETH needs to born 3-4 times to match Hansi Flick's ball """"",no-hate
"@UnitedStandMUFC I want Erik ten hag to leave not because he's not good enough but this team has a very toxic environment from the board down the fans. He needs peace of mind away from the PGMOL English press and from us the fans. Let the team get an English coach and they should do whatever""""",hate
"@fidelityic Are you seriously comparing Hansi Flick with Erik Ten Hag? ETH needs to born 3-4 times to match Hansi Flick's ball """"",no-hate
"Erik Ten Hag is begging Manchester United owner Jim Ratcliffe to sack him after United lost 2-1 against West Ham today. (Parody) I made this using https://t.co/rNe1J8cXp3 #manchesterunited #manutd #manutdfans #manutdfc #eriktenhag #tenhag #tenhagout https://t.co/xtceHncKbZ""""",hate
" Manchester United have won only ððð game in their last 8 . Walls thinning for Erik Ten Hag #MUFC""""",hate
"Erik ten Hag slams 'unfair and unjust' decision to award West Ham a penalty in Man United's defeat - as he tells officials to show 'big personality' when sent to the monitor by VAR https://t.co/k6MtR3Pu6H""""",no-hate
"Man Utd always seem to have some shit hit the fan even when Erik ten Hag gets it right. But for terrible finishing that game would've been won in the first half. Don't think I've ever been this confused about #MUFC #WHUMUN. https://t.co/QgYtQBWGpf""""",hate
"@AliceTalksFooty I don't think the way Rashford was played changes the fact that the guy isn't at his best level because this same guy was perfectly used by Erik Ten Hag last two season ago and he(Rashford) got 40 g/a that season. Honestly I don't know what is wrong anymore.""""",no-hate
"Manchester United manager Erik ten Hag says West Ham United s late penalty award was an injustice . West Ham won a penalty after Matthijs de Ligt was judged to have fouled Max Kilman with Jarrod Bowen converting from the spot in the 92nd minute to give #WHUFC a 2-1 home win. https://t.co/4bf9CnOHjs""""",no-hate
"How is Erik ten hag even walking a free man sef""""",no-hate
" WE'RE GOING LIVE! #MUFC DROP MORE POINTS! | Ten Hag Must Go! | VAR DISGRACE! | WEST HAM 2-1 MAN UNITED | Match Reaction Watch here: https://t.co/ZFsoqi8o0T â° Going live NOW! #WHUMNU #ManchesterUnited #ErikTenHag https://t.co/UgsdrxVVnE""""",hate
"Two weeks ago after the scrappy win against Brentford I said it that if Man Utd was a serious club Erik ten Hag should be gone before Christmas. As a fresh secondary school leaver I started supporting Man Utd after the unprecedented treble feat in 1999. In my 25yrs of being a https://t.co/p77WWxFOdA""""",hate
"Erik ten Hag directed his anger towards the VAR process that awarded a pivotal late penalty to West Ham in #MUFC's 2-1 defeat in East London #WHUMUN https://t.co/bGjy7CC46V""""",no-hate
"Erik ten Hag is not the man to lead Man Utd ï¸ @GARSIDEK #MUFC https://t.co/HEx9sFkNDn""""",hate
"@MerlinUnited Erik ten Hag asked for Harry Kane. He got two inexperienced youngsters instead. That's no criticism of the two youngsters but they are not ready to lead the line for title challenging side week in week out.""""",no-hate
"@metalmarkie How is Erik Ten Hag right now""""",no-hate
"Manchester United after losing to Westham | There is a conspiracy against Erik Ten Hag he must not be Sacked he is doing well! https://t.co/x75DGUKbmG""""",no-hate
"Man Utd are paying the price for Erik ten Hag's rank incompetence ï¸ @GARSIDEK #MUFC https://t.co/HEx9sFkNDn""""",hate
"Repost in solidarity for Erik Ten Hag.. Manchester United trust the process. https://t.co/nc7tGoV5ts""""",no-hate
"https://t.co/o2Muwccr6N WEST HAM UNITED 2-1 MANCHESTER UNITED ERIK TEN HAG HAS TO BE SACKED TONIGHT!!!! FULL TIME REACTION NOW *LIVE* ON UTDREDDEVILS20 ON YOUTUBE SO PLEASE SUBSCRIBE TO THE CHANNEL AND TO THE COMMUNITY IF YOU ARE NEW THANK YOU LEGENDS I'M LIVE NOW SO ENJOY""""",hate
"The UK needs to ban Erik Ten Hag from entering the country @Keir_Starmer @Keir_Starmer @Keir_Starmer""""",hate
"When do you THINK Erik ten Hag gets the sack?""""",hate
"Man Utd are paying the price for Erik ten Hag's rank incompetence ï¸ @GARSIDEK #MUFC https://t.co/HEx9sFkNDn""""",hate
"What is the difference between Xavi and Erik Ten Hag?""""",no-hate
"ERIK TEN HAG HAS LOST 18 OF HIS LAST 47 GAMES! WHY THE FUCK ARENT WE PROTESTING THROUGH THE STREETS!! HES DOING MORE DAMAGE TO OUR CLUB THAN THE FUCKING GLAZERS""""",hate
"I agree with you about that Alice So it s maybe Erik ten Hag fault because he don t play the players in there favourite positions in the team""""",no-hate
"Erik ten Hag mentality has begun to spread among the squad. We need to stop it before it gets out of hand. @ManUtd""""",no-hate
"Just sack Erik ten hag @ManUtd Things won't turn around 18 months it's been pure shit It's November in 2 weeks and we are 14th Sack him while there's time to save this season @INEOSGrenadiers @INEOS #mufc @SkySportsPL @FabrizioRomano @OmarBerrada""""",hate
"Losing today should be the final nail in the coffin for Erik ten hag @ManUtd #mufc @INEOSGrenadiers @INEOS Sack him NOW #TENHAGOUT @lauriewhitwell @FabrizioRomano @David_Ornstein""""",hate
"Erik Ten hag shouldn't even bother going to Carrington by morning""""",hate
"If erik ten hag loves and respects himself he will leave this club alongside dalot.""""",no-hate
"I swear Erik Ten Hag's Man Utd cannot scrap 40 points this season. We're literally heading for a relegation battle. That's exactly what it is""""",hate
"ERIK TEN HAG HAS LOST 18 OF HIS LAST 47 GAMES! WHY THE FUCK ARENT WE PROTESTING THROUGH THE STREETS!! HES DOING MORE DAMAGE TO OUR CLUB THAN THE FUCKING GLAZERS""""",hate
"@ESPNFC Erik ten Hag slammed the process behind the controversial decision that saw Jarrod Bowen earn West Ham a 2-1 win over Man United in stoppage time """"",no-hate
"I think it's time to stop please. Manchester United needs an overhaul and Erik Ten Hag needs to leave please.""""",hate
"@UtdFaithfuls @_Utdbaki Ten Hag s PR stans are going to share this compilation a zillion times this coming week in order to create a narrative that makes Ten Hag looks innocent. It s only a matter of time before he is gone. Congratulations on the 17M jackpot Erik.""""",no-hate
"@ManUtd I deeply empathize with the person handling social media duties. It's difficult to find the right words to post after such a sorrowful day. It truly feels painful. Erik Ten Hag is the source and at heart of our frustration and pain. His stubbornness is baffling. The transition""""",hate
"Manchester United would have to pay up to Â£14million (â¬16.7m / $18.3m) to sack Erik ten Hag ... Better HE STAYS""""",hate
"Erik Ten Hag was the only one to get the rightfully full supporting system from the board first ever.""""",no-hate
"@UnitedStandMUFC I want Erik ten hag to leave not because he's not good enough but this team has a very toxic environment from the board down the fans. He needs peace of mind away from the PGMOL English press and from us the fans. Let the team get an English coach and they should do whatever""""",hate
"Manchester United would have to pay up to Â£14million (â¬16.7m / $18.3m) to sack Erik ten Hag ... Better HE STAYS""""",hate
"In a gripping twist of fate Erik ten Hag decries the injustice of Manchester United's heartbreak against West Ham's last-minute penalty. Dive into the latest football news and uncover the emotions that shape the game. Read more at https://t.co/btxltrmc3M""""",no-hate
"All Manchester united coaches post Fergie Erik Ten Hag is the most luckiest coach None of the coaches post Fergie will survive sacking under this performance. #ManchesterUnited""""",no-hate
"Erik ten Hag: In this moment definitely the luck is not on our side. Last season was not different but in the end we turned it around. We are so determined it will be the same again. #MUFC https://t.co/UJenOGOQf4""""",no-hate
"Manchester United should stick with Erik Ten Hag the results will come https://t.co/Y5bcIkACBL""""",no-hate
"Manchester United would have to pay up to Â£14million (â¬16.7m / $18.3m) to sack Erik ten Hag ... Better HE STAYS""""",hate
"@TenHagBall_ Sack Erik Ten Hag already pls""""",hate
"@ManUtd Erik ten hag for life please He s doing a fantastic job""""",no-hate
"ï¸ Erik ten Hag: We feel an injustice there are so many things against us. We have to stick together and keep fighting. #MUFC https://t.co/jOGpJvJUHK""""",no-hate
"Erik Ten Hag always Complaining """"",no-hate
" NEW YOUTUBE VIDEO 'At the moment the LUCK IS NOT ON MY SIDE!' | Erik Ten Hag | West Ham 2-1 Man Utd https://t.co/jgSBu5FtGX https://t.co/bAZigBNI7Q""""",no-hate
"Erik ten Hag being sacked by November was on 99.9% of our bingo cards when he signed that 3 year contract in the summer. The only question is if he actually makes it to November at all. Surely United can't carry on like this for much longer. #MUFC""""",no-hate
"@sportingking365 This is Erik Ten Hag his beautiful Wife and lovely Daughter. Before you ask for his sacking think about his family. How do you want him to put food on their table https://t.co/tkQQF9HKy6""""",no-hate
"Manchester United after losing to Westham | There is a conspiracy against Erik Ten Hag he must not be Sacked he is doing well! https://t.co/x75DGUKbmG""""",no-hate
"@TenHagBall_ Sack Erik Ten Hag already pls""""",hate
"Erik ten Hag is not the man to lead Man Utd ï¸ @GARSIDEK #MUFC https://t.co/HEx9sFkNDn""""",hate
"@mufcMPB Everyone is better than Erik Ten Hag. No one could be worse than him at this point.""""",hate
"Erik ten Hag angry with VAR for interfering as West Ham penalty wounds Man Utd https://t.co/MjazWjATrc""""",no-hate
"-Proper talent ID -Identical play style -Big trophy winner -Big game manager -Silky hair -AURA Sack Erik Ten Hag sign Xavi Hernandez. He is the truth. https://t.co/J5cnUqCwCd""""",hate
"@ManUtd Sack Erik ten Hag! He has overstayed his welcome """"",hate
"How should Manchester United react to a rocky start to the season? The NBC Sports Soccer crew discusses Erik ten Hag's future with the club. https://t.co/t6x0NVZg8X""""",no-hate
"A question for Erik ten Hag. Why create a system where Dalot finds himself infront of goal and cant score. Terrible miss btw. Why not create a system where those chances fall to your striker. Am sure Rasmus Hojlund scores 2-3 out of five of those.""""",hate
"Angry Erik ten Hag criticises VAR and referees after Man United beaten by West Ham penalty https://t.co/L9jw19irqh""""",no-hate
"ï¸ Erik ten Hag: We feel an injustice there are so many things against us. We have to stick together and keep fighting. #MUFC https://t.co/jOGpJvJUHK""""",no-hate
"@Phill_Sterling Erik ten Hag is responsible for this mediocrity.""""",no-hate
"@ManUtd Sack Erik ten Hag! He has overstayed his welcome """"",hate
"@Iamdaniel_sage @nelsonhands20 You can say anything against Arteta call him names that's ok but calling him fraud? If Arteta is fraud what's Erik Ten Hag?""""",no-hate
"@TenHagBall_ man we're still playing like a shit this bald erik ten hag """"",hate
"Yes folks there was a time Manchester United got eelegated in the 1970s and it could happen again because the motherf**kers do not want to fire Erik Ten Hag! https://t.co/WrMTYrsTLO""""",hate
"Erik ten hag resign or I m nicking your bike""""",hate
"If by tomorow Erik Ten Hag is still the coach of Manchester United..... Then it is clear that the owners lack ambition for the club """"",hate
"If erik ten hag loves and respects himself he will leave this club alongside dalot. Dalot as never been a good player""""",no-hate
"ERIK TEN HAG HAS LOST 18 OF HIS LAST 47 GAMES! WHY THE FUCK ARENT WE PROTESTING THROUGH THE STREETS!! HES DOING MORE DAMAGE TO OUR CLUB THAN THE FUCKING GLAZERS""""",hate
"Erik ten Hag: Three times this season we feel injustice. We have to score we created so many chances. We should've been two or three up. Second half we were forcing it but we allowed them into the game. https://t.co/h6kOd4ni1Z""""",no-hate
"Man Utd told to immediately sack Erik ten Hag as replacement named 'He's had his time' https://t.co/411m1J0WfH""""",hate
" Manchester United have won only ððð game in their last 8 . Walls thinning for Erik Ten Hag #MUFC""""",hate
"ERIK TEN HAG HAS LOST 18 OF HIS LAST 47 GAMES! WHY THE FUCK ARENT WE PROTESTING THROUGH THE STREETS!! HES DOING MORE DAMAGE TO OUR CLUB THAN THE FUCKING GLAZERS""""",hate
"Gutted that Erik Ten Hag's gonna be sacked tomorrow Provided the best entertainment to non Utd fans since Ralf Rangnick who provided the funniest moments since Ole Gunnar SolskjÃ¦r""""",hate
"ï¸ Erik ten Hag: In soccer it's not always the best team that wins and today was a perfect example of that. Only one team deserved to win today. We played very well with and without the ball but to win you have to score. #MUFC https://t.co/EgDG4V81lZ""""",no-hate
"Erik Ten Hag claimed Manchester United is hard beat after playing Jose Mourinho s FenerbahÃ§e. A fews days later he got exposed. https://t.co/jrnsLtM4Ne""""",no-hate
"@TenHagBall_ Sack Erik Ten Hag already pls""""",hate
"@UTDKara I want Erik ten hag to leave not because he's not good enough but this team has a very toxic environment from the board down the fans. He needs peace of mind away from the PGMOL English press and from us the fans. Let the team get an English coach and they should do whatever""""",hate
"Man Utd news Fans BEG for #ErikTenHag to be sacked after West Ham loss https://t.co/JYT2YTa6X0""""",hate
"@NoodleHairCR7 Let it sink in that Erik ten hag is playing favoritism in football""""",no-hate
"@ManUtd Win or whatever Just we want ten hag out fuck Erik fuck Erik""""",hate
"ERIK TEN HAG YOU WILL PERISH""""",no-hate
"@mufcMPB Everyone is better than Erik Ten Hag. No one could be worse than him at this point.""""",hate
"Losing today should be the final nail in the coffin for Erik ten hag @ManUtd #mufc @INEOSGrenadiers @INEOS Sack him NOW #TENHAGOUT @lauriewhitwell @FabrizioRomano @David_Ornstein""""",hate
"I am Erik Ten Hag in but my lord is it hard to defend him each week""""",no-hate
"@ManUtd Please remove @ErikTenHag""""",hate
" We played so good... So I can't criticize my team for not playing well. Man United boss Erik ten Hag speaks following a controversial late defeat against West Ham. https://t.co/LG4sUOIMoX""""",no-hate
"@UtdShiv I just thought about it again - Erik Ten Hag will actually do well in another club. However with Manchester United there s so many factors involved""""",no-hate
"West ham 2: 1 Man Utd Premier league #sportsontiktok #miss_godspower #manchesterunited #westham #eriktenhag #premierleague https://t.co/zf9vFiR10n""""",no-hate
"I need someone to buy me an iPad so I can see Erik Ten Hag's Manchester united on the pl table""""",no-hate
"Again I asked what's the difference between Xavi and Erik Ten Hag? https://t.co/etTCwFpuYp""""",no-hate
"ï¸ That's the third time I feel real injustice in the season Erik ten Hag on the penalty decision in the defeat against West Ham United. #MUFC #BBCPL""""",no-hate
"I can't believe there are still sane individuals defending Erik ten hag""""",no-hate
"if you really hear us sack erik ten hag and sell dalot.""""",hate
"Erik Ten Hag deÉ i leave him to my God. What a useless coach""""",hate
"Erik ten Hag: In this moment definitely the luck is not on our side. Last season was not different but in the end we turned it around. We are so determined it will be the same again. #MUFC https://t.co/UJenOGOQf4""""",no-hate
"How is Erik ten hag even walking a free man sef""""",no-hate
"Erik ten Hag Criticizes 'Unfair' VAR Call After Manchester United's Defeat Erik ten Hag expressing frustration after VAR call during the match against West Ham. https://t.co/yISktyXHlz""""",no-hate
"@ManUtd Failure to sack Erik Ten Hag means Man Utd is meant to Relegate this season..""""",hate
"If by tomorow Erik Ten Hag is still the coach of Manchester United..... Then it is clear that the owners lack ambition for the club """"",hate
"It's not about Erik Ten Hag.I think player don't like the Club and only Sign for the Money.They lose every game on purpose.""""",no-hate
"if you really hear us sack erik ten hag and sell dalot.""""",hate
"Losing today should be the final nail in the coffin for Erik ten hag @ManUtd #mufc @INEOSGrenadiers @INEOS Sack him NOW #TENHAGOUT @lauriewhitwell @FabrizioRomano @David_Ornstein""""",hate
"Gutted that Erik Ten Hag's gonna be sacked tomorrow Provided the best entertainment to non Utd fans since Ralf Rangnick who provided the funniest moments since Ole Gunnar SolskjÃ¦r""""",hate
"Erik ten Hag is not the man to lead Man Utd ï¸ @GARSIDEK #MUFC https://t.co/HEx9sFkNDn""""",hate
"Man United boss Erik Ten Hag is once again under pressure after his side were beaten 2-1 by West Ham in Premier League action last night. This leaves the Red Devils 14th in the standings and just seven points off the relegation zone. #ManUtd #AstroEPL #AstroRadioNews https://t.co/IcgOXVNjgv""""",no-hate
"@TrollFootball Once united sack Erik Ten Hag some players should be sacked as well for the team to have shape again""""",hate
"@PhokMei @TenHagEra 8 games 1 win = relegation form cha. erik ten hag is ensuring we are in a proper mighty relegation scrap. he has to go blud come tf on""""",hate
"Erik Ten Hag claimed Manchester United is hard beat after playing Jose Mourinho s FenerbahÃ§e. A fews days later he got exposed. https://t.co/jrnsLtM4Ne""""",no-hate
"I would blame VAR and Players ... But still Erik Ten Hag has been average. should go""""",hate
"@ESPNFC Erik ten Hag criticized the decision-making process that led to West Ham's late winner emphasizing the need for clarity and consistency in officiating... """"",no-hate
"@ManUtd I deeply empathize with the person handling social media duties. It's difficult to find the right words to post after such a sorrowful day. It truly feels painful. Erik Ten Hag is the source and at heart of our frustration and pain. His stubbornness is baffling. The transition""""",hate
"Two weeks ago after the scrappy win against Brentford I said it that if Man Utd was a serious club Erik ten Hag should be gone before Christmas. As a fresh secondary school leaver I started supporting Man Utd after the unprecedented treble feat in 1999. In my 25yrs of being a https://t.co/p77WWxFOdA""""",hate
"@UTDKara Erik ten hag has nothing to offer that team anymore""""",hate
"@ManUtd checking @SkySportsNews every 10 minutes hoping to see Erik Ten Hag Sacked finally! Please please please @SirJimRatclife try anybody until end of the season as it's a write off again already. Even roy keane to scare them into shape and tell them how it is #TenHagMustGo""""",no-hate
"This is Erik Ten Hag his beautiful daughter and lovely wife. Before you ask him to be sacked by Man Utd think about his family. How do you want him to put food on their table? Erik Ten Hag must stay. Like this if you agree https://t.co/KQd0AfsQyU""""",no-hate
"Manchester United missed an open goal and conceded in stoppage time to lose 2-1 at West Ham in the Premier League piling more pressure on manager Erik ten Hag on Sunday. Read more: https://t.co/eK6WbC7DUo #GLNRSports https://t.co/6Qa1Rctsbl""""",no-hate
"This is my last tweet until Erik ten Hag gets sacked by Manchester United.""""",hate
"@ManUtd At this rate @ManUtd we should be relegated for you sack Erik ten hag we need the motivation of a different manager everything now is pathetic. Do you even train this players?""""",hate
"@UnitedStandMUFC I want Erik ten hag to leave not because he's not good enough but this team has a very toxic environment from the board down the fans. He needs peace of mind away from the PGMOL English press and from us the fans. Let the team get an English coach and they should do whatever""""",hate
"Gutted that Erik Ten Hag's gonna be sacked tomorrow Provided the best entertainment to non Utd fans since Ralf Rangnick who provided the funniest moments since Ole Gunnar SolskjÃ¦r""""",hate
"Once again before I will eat dinner it won t be well for Erik Ten hag""""",hate
"@PhokMei @TenHagEra 8 games 1 win = relegation form cha. erik ten hag is ensuring we are in a proper mighty relegation scrap. he has to go blud come tf on""""",hate
"@JanAageFjortoft Lot of Britis in the comments section justifying the 20 second pen. Last week Norris only got a 5 second pen. Memory of a goldfish""""",no-hate
"Betting on Manchester United s Next Manager: Who Could Replace Erik ten Hag? https://t.co/VbTAZZgiK7 #MUFC #EPL""""",no-hate
"@RMCF_Jude Erik Ten Hag is good the main problems are the players they play like they are kids""""",no-hate
" - Erik Ten Hag was FURIOUS with the penalty decision as he should! https://t.co/HxEXaEhwH7""""",no-hate
